1st_day,click_activity_evolution,click_stuVLE_evolution,date,id_student,last_day,max_nb_ressources,mean_assignments,mean_click_active_day,mean_click_active_day_10,mean_click_day,mean_click_day_10,mean_nb_ressources,min_nb_ressources,nb_active_days,nb_total_click,nb_total_click_last10D,perc_active_days,perc_assignements_late,perc_not_returned_ass,perc_ressources_last10D,perc_ressources_total,ressources_activity_evolution,ressources_stuVLE_evolution,std_assignments,std_nb_ressources,validation,final_result,_id,code_presentation_2013B,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,code_module_AAA,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region
-10.0,1.5405405405405406,0.0,79.8507462686567,31604,214.0,13,76.85714285714286,18.057142857142857,22.6,8.859813084112151,5.7,4.647619047619048,1,224,1896,57,1.0467289719626167,0.0,0.0,6.25,39.42307692307692,4.333333333333333,0.0,7.932002689527197,2.7941592666356736,1,Pass,3,0,1,0,0,1,0,0,0,0,0,0,2,55,45,0,60,0,-52.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-10.0,6.0,0.0,79.8507462686567,32885,207.0,16,46.42857142857143,15.47457627118644,9.1,4.266355140186916,0.6,4.440677966101696,1,224,913,6,1.0467289719626167,1.0,0.0,2.403846153846154,29.80769230769231,5.0,0.0,19.602295783912663,3.3644756031455048,0,Pass,4,0,1,0,0,1,0,0,0,0,0,0,1,55,20,0,60,0,-176.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.0,4.565217391304348,0.0,79.8507462686567,45462,214.0,10,67.71428571428572,16.433734939759034,15.5,6.373831775700936,10.5,3.5903614457831323,1,224,1364,105,1.0467289719626167,0.25,0.0,5.288461538461538,25.961538461538463,11.0,0.0,5.715476066494082,2.3686784654405484,1,Pass,6,0,1,0,0,1,0,0,0,0,0,0,3,35,20,0,60,0,-67.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-9.0,13.333333333333336,0.0,79.8507462686567,45642,214.0,12,72.28571428571429,13.835294117647061,17.5,5.4953271028037385,4.0,4.0588235294117645,1,223,1176,40,1.0420560747663552,0.25,0.0,3.8461538461538463,27.40384615384616,4.0,0.0,0.5,2.39221426206564,1,Pass,7,0,1,0,0,1,0,0,0,0,0,0,2,95,20,0,120,0,-29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-4.0,1.4819277108433735,0.0,79.8507462686567,52130,214.0,14,71.71428571428571,15.542857142857144,19.3,7.626168224299064,12.3,4.2476190476190485,1,218,1632,123,1.0186915887850467,0.25,0.0,8.173076923076923,33.17307692307692,3.4,0.0,2.8722813232690143,2.3237111910979174,1,Pass,8,0,1,0,0,1,0,0,0,0,0,0,2,75,20,0,90,0,-33.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,0.921875,0.0,79.8507462686567,71361,213.0,13,81.71428571428571,17.308333333333334,11.4,9.705607476635514,5.9,4.466666666666667,1,224,2077,59,1.0467289719626167,0.0,0.0,5.769230769230767,36.05769230769232,2.4,0.0,3.685557397915997,2.7160689999197243,1,Pass,17,0,1,0,0,1,0,0,0,0,0,0,3,47,45,0,60,0,-130.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-10.0,87.0,0.0,79.8507462686567,98094,214.0,27,60.00000000000001,34.012195121951216,24.5,13.032710280373832,8.7,4.2073170731707314,1,224,2789,87,1.0467289719626167,0.0,0.0,5.288461538461538,43.75,11.0,0.0,1.5,3.5442103889215555,1,Pass,23,0,1,0,0,1,0,0,0,0,0,0,1,75,45,0,60,0,-107.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12.0,0.0,0.0,64.92537313432835,106247,150.0,17,41.857142857142854,14.090909090909092,0.0,2.6724137931034484,0.0,4.181818181818182,1,174,465,0,1.0,0.5,0.25,0.0,20.673076923076927,0.0,0.0,31.37939876203281,3.5659373369296734,0,Withdrawn,29,0,1,0,0,1,0,0,0,0,0,0,3,85,45,0,60,0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-10.0,0.9230769230769232,0.0,79.8507462686567,106577,213.0,15,49.57142857142857,17.07894736842105,10.8,3.032710280373832,4.8,4.2631578947368425,1,224,649,48,1.0467289719626167,0.25,0.0,3.3653846153846154,20.673076923076927,2.333333333333333,0.0,8.736894948054104,2.8349575574907337,0,Pass,30,0,1,0,0,1,0,0,0,0,0,0,1,25,20,0,60,0,-107.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-9.0,0.848,0.0,79.8507462686567,113295,213.0,12,77.0,18.727272727272727,12.8,14.4392523364486,10.6,4.484848484848484,1,223,3090,106,1.0420560747663552,0.5,0.0,6.25,42.78846153846153,1.8571428571428568,0.0,2.516611478423583,2.7086268247367817,1,Pass,33,0,1,0,0,1,0,0,0,0,0,0,1,65,45,0,60,0,-26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-9.0,51.0,0.0,79.8507462686567,114017,214.0,12,72.85714285714283,19.13888888888889,17.3,3.2196261682243,5.1,5.027777777777779,1,223,689,51,1.0420560747663552,0.0,0.0,1.9230769230769231,18.269230769230766,4.0,0.0,4.320493798938574,2.5012695189341767,1,Pass,34,0,1,0,0,1,0,0,0,0,0,0,5,47,45,0,60,0,-29.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-10.0,0.5652173913043478,0.0,79.8507462686567,114999,214.0,17,78.0,11.128712871287126,8.8,5.252336448598131,2.6,3.5445544554455446,1,224,1124,26,1.0467289719626167,0.5,0.0,4.807692307692308,33.17307692307692,1.6666666666666667,0.0,2.6457513110645907,2.590462323506164,1,Pass,35,0,1,0,0,1,0,0,0,0,0,0,3,65,45,0,60,0,-68.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-10.0,0.44680851063829785,0.0,50.0,129955,132.0,14,80.19999999999997,12.317073170731707,7.6,7.537313432835821,2.1,3.5731707317073167,1,144,1010,21,1.0746268656716418,0.3333333333333333,0.0,2.403846153846154,24.51923076923077,1.25,0.0,4.58257569495584,2.282680294854166,1,Withdrawn,41,0,1,0,0,1,0,0,0,0,0,0,2,55,20,0,60,0,-197.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.0,11.25,0.0,79.8507462686567,134143,213.0,45,85.0,21.584745762711865,7.4,11.901869158878505,4.5,3.8135593220338975,1,224,2547,45,1.0467289719626167,0.0,0.0,2.8846153846153846,39.903846153846146,6.0,0.0,1.707825127659933,4.559106886114312,1,Distinction,43,0,1,0,0,1,0,0,0,0,0,0,2,95,45,0,60,0,-96.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-10.0,0.275,0.0,10.820895522388058,135335,24.0,4,0.0,5.7,5.7,1.9655172413793105,1.1,2.5,1,39,57,11,1.3448275862068966,0.0,1.0,2.403846153846154,3.8461538461538463,1.25,0.0,0.0,1.2692955176439846,0,Withdrawn,44,0,1,0,0,1,0,0,0,0,0,0,1,25,20,0,180,0,-29.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,3.0731707317073167,0.0,79.8507462686567,137873,214.0,15,79.42857142857143,29.228915662650603,31.8,22.672897196261683,25.2,5.481927710843373,1,224,4852,252,1.0467289719626167,0.0,0.0,7.6923076923076925,40.865384615384606,5.333333333333333,0.0,4.795831523312719,2.7737358934952345,1,Pass,46,0,1,0,0,1,0,0,0,0,0,0,2,45,45,0,60,0,-195.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.0,28.0,0.0,79.8507462686567,146188,207.0,11,52.57142857142858,18.379310344827584,18.5,2.4906542056074765,2.8,5.241379310344827,1,224,533,28,1.0467289719626167,0.5,0.0,2.8846153846153846,23.55769230769231,6.0,0.0,7.767453465154028,2.773022750071444,1,Fail,52,0,1,0,0,1,0,0,0,0,0,0,2,25,20,0,60,1,-132.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-9.0,10.25,0.0,21.26865671641791,147793,53.0,9,17.333333333333336,19.25,19.25,2.7017543859649122,4.1,4.375,1,66,154,41,1.1578947368421053,0.5,0.5,4.326923076923077,8.173076923076923,9.0,0.0,36.76955262170047,3.1594529363709247,0,Withdrawn,54,0,1,0,0,1,0,0,0,0,0,0,1,85,20,0,90,0,-138.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-10.0,4.466666666666667,0.0,79.8507462686567,155550,213.0,14,66.42857142857143,16.615384615384613,10.6,5.046728971962617,6.7,4.5076923076923086,1,224,1080,67,1.0467289719626167,0.25,0.0,5.288461538461538,25.48076923076923,11.0,0.0,5.802298395176402,2.926832102093687,1,Pass,57,0,1,0,0,1,0,0,0,0,0,0,2,5,45,0,420,0,-16.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-10.0,55.0,0.0,70.8955223880597,155984,187.0,15,33.571428571428584,20.63636363636364,12.7,4.778947368421052,5.5,4.909090909090909,1,200,908,55,1.0526315789473684,0.25,0.5,2.8846153846153846,21.15384615384616,6.0,0.0,46.368092477478534,3.4359128086656443,0,Withdrawn,59,0,1,0,0,1,0,0,0,0,0,0,1,75,20,0,60,0,-64.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,1.2307692307692308,0.0,79.8507462686567,175932,214.0,12,77.42857142857143,22.24137931034483,9.3,9.042056074766355,4.8,4.218390804597702,1,224,1935,48,1.0467289719626167,0.5,0.0,4.326923076923077,28.84615384615385,4.5,0.0,3.774917217635376,2.746775222795929,1,Pass,69,0,1,0,0,1,0,0,0,0,0,0,3,75,45,0,60,0,-92.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-7.0,0.0,0.0,79.8507462686567,175991,166.0,11,36.42857142857143,8.428571428571429,0.0,0.5514018691588785,0.0,2.7142857142857144,1,221,118,0,1.0327102803738315,0.25,0.0,0.0,7.211538461538463,0.0,0.0,10.3400515794974,2.672612419124244,0,Fail,70,0,1,0,0,1,0,0,0,0,0,0,2,85,20,0,180,0,-57.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-10.0,1.3666666666666667,0.0,79.8507462686567,184271,214.0,14,60.714285714285715,9.237410071942444,4.4,6.0,4.1,2.9136690647482015,1,224,1284,41,1.0467289719626167,0.0,0.0,5.769230769230767,43.269230769230774,2.4,0.0,5.678908345800274,2.055328932342224,1,Pass,75,0,1,0,0,1,0,0,0,0,0,0,3,85,45,0,170,0,-74.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.0,27.0,0.0,79.8507462686567,200860,211.0,16,58.42857142857143,6.787878787878787,4.4,2.093457943925233,2.7,2.984848484848485,1,224,448,27,1.0467289719626167,0.0,0.0,3.3653846153846154,18.75,7.0,0.0,6.701989754294367,2.563005592853376,1,Pass,83,0,1,0,0,1,0,0,0,0,0,0,1,55,45,0,60,0,-54.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-10.0,1.0,0.0,79.8507462686567,205350,214.0,29,71.00000000000001,12.902654867256635,3.2,6.813084112149532,1.1,3.8584070796460175,1,224,1458,11,1.0467289719626167,0.0,0.0,2.8846153846153846,48.55769230769231,6.0,0.0,12.261049438499679,3.43268755766103,1,Pass,85,0,1,0,0,1,0,0,0,0,0,0,3,85,45,0,60,0,-68.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.0,38.0,0.0,79.8507462686567,227517,214.0,14,65.0,18.714285714285715,10.3,5.509345794392524,3.8,5.142857142857143,1,224,1179,38,1.0467289719626167,0.0,0.0,5.288461538461538,28.365384615384606,11.0,0.0,2.0615528128088303,3.402357545344029,1,Fail,88,0,1,0,0,1,0,0,0,0,0,0,3,47,20,0,180,0,-172.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-6.0,21.0,0.0,79.8507462686567,229179,214.0,11,69.42857142857143,12.717391304347824,8.2,2.733644859813084,4.2,3.0434782608695654,1,220,585,42,1.02803738317757,0.0,0.0,3.8461538461538463,20.19230769230769,8.0,0.0,3.774917217635376,2.581614669062156,1,Pass,91,0,1,0,0,1,0,0,0,0,0,0,2,25,20,0,60,0,-165.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-10.0,14.083333333333336,0.0,79.8507462686567,229361,214.0,9,78.14285714285714,10.722222222222221,17.2,5.411214953271028,16.9,2.759259259259259,1,224,1158,169,1.0467289719626167,0.0,0.0,8.653846153846152,24.038461538461537,9.0,0.0,3.5118845842842465,1.7554740572851877,1,Pass,92,0,1,0,0,1,0,0,0,0,0,0,2,55,20,0,60,0,-58.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16.0,40.0,0.0,79.8507462686567,236284,212.0,16,82.14285714285717,11.181818181818182,11.5,1.7242990654205608,4.0,3.9393939393939386,1,214,369,40,1.0,0.25,0.0,2.403846153846154,16.346153846153847,5.0,0.0,3.1091263510296048,3.2876605848554568,1,Pass,95,0,1,0,0,1,0,0,0,0,0,0,5,95,20,0,60,0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-10.0,0.6333333333333333,0.0,79.8507462686567,238007,214.0,14,76.71428571428572,11.465277777777779,7.4,7.714953271028037,3.8,4.0277777777777795,1,224,1651,38,1.0467289719626167,0.0,0.0,5.769230769230767,42.30769230769232,2.4,0.0,8.426149773176359,2.5141402747065094,1,Pass,96,0,1,0,0,1,0,0,0,0,0,0,3,95,60,0,60,0,-151.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-10.0,0.4354838709677419,0.0,79.8507462686567,241649,214.0,15,76.14285714285717,14.714285714285715,10.3,8.182242990654206,2.7,3.865546218487395,1,224,1751,27,1.0467289719626167,0.0,0.0,2.403846153846154,35.096153846153854,0.8333333333333334,0.0,8.05708797684788,2.317671134404649,1,Pass,99,0,1,0,0,1,0,0,0,0,0,0,3,95,45,0,60,0,-50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-10.0,0.39325842696629215,0.0,79.8507462686567,241729,214.0,25,59.0,14.811881188118813,15.8,6.990654205607478,7.0,4.336633663366337,1,224,1496,70,1.0467289719626167,0.25,0.0,7.6923076923076925,35.57692307692308,0.64,0.0,6.055300708194983,3.6229193414228056,1,Fail,100,0,1,0,0,1,0,0,0,0,0,0,3,65,45,0,60,0,-31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-10.0,16.0,0.0,79.8507462686567,242793,214.0,26,77.14285714285717,12.6875,11.4,2.8457943925233646,4.8,4.5625,1,224,609,48,1.0467289719626167,0.0,0.0,3.8461538461538463,37.019230769230774,8.0,0.0,7.804912982645397,4.639819558120218,1,Pass,101,0,1,0,0,1,0,0,0,0,0,0,3,25,45,0,60,0,-36.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-10.0,6.428571428571429,0.0,79.8507462686567,246834,214.0,13,56.0,17.410714285714285,13.9,4.55607476635514,9.0,4.696428571428571,1,224,975,90,1.0467289719626167,0.0,0.0,5.769230769230767,21.15384615384616,12.0,0.0,3.415650255319866,3.0146288350287853,1,Pass,102,0,1,0,0,1,0,0,0,0,0,0,2,95,45,0,60,0,-16.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.0,1.2413793103448276,0.0,79.8507462686567,248270,214.0,12,77.57142857142857,10.235294117647056,5.5,8.130841121495326,3.6,3.223529411764706,1,224,1740,36,1.0467289719626167,0.5,0.0,2.403846153846154,27.40384615384616,5.0,0.0,2.6457513110645907,2.028649654870637,1,Pass,103,0,1,0,0,1,0,0,0,0,0,0,1,25,20,0,90,0,-198.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-10.0,5.636363636363638,0.0,79.8507462686567,279572,214.0,17,78.14285714285717,20.145454545454548,18.7,5.177570093457943,6.2,4.327272727272727,1,224,1108,62,1.0467289719626167,0.0,0.0,4.326923076923077,27.40384615384616,3.0,0.0,3.774917217635376,3.1567361570114096,1,Distinction,115,0,1,0,0,1,0,0,0,0,0,0,1,45,20,0,60,0,-138.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-10.0,32.75,0.0,79.8507462686567,282821,214.0,14,65.57142857142857,23.3875,14.1,8.742990654205608,13.1,4.9875,1,224,1871,131,1.0467289719626167,0.75,0.0,6.730769230769233,31.25,14.0,0.0,9.83192080250175,2.883799138004316,1,Pass,119,0,1,0,0,1,0,0,0,0,0,0,2,35,45,0,60,0,-107.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.0,2.8,0.0,79.8507462686567,287548,212.0,12,67.0,10.688888888888886,7.5,2.2476635514018692,1.4,2.9777777777777783,1,224,481,14,1.0467289719626167,0.25,0.0,2.403846153846154,25.48076923076923,2.5,0.0,4.856267428111155,2.028085627662529,1,Pass,121,0,1,0,0,1,0,0,0,0,0,0,2,95,20,0,120,0,-52.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-9.0,47.0,0.0,79.8507462686567,290757,214.0,12,76.42857142857143,13.230769230769232,11.1,1.6074766355140186,4.7,4.538461538461538,1,223,344,47,1.0420560747663552,0.0,0.0,5.288461538461538,14.903846153846152,11.0,0.0,2.6299556396765835,2.6567765315249114,1,Pass,123,0,1,0,0,1,0,0,0,0,0,0,2,35,20,0,60,0,-141.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
